x,y
-3.6872923,-15.986148
-56.522663,18.009975
49.28559,-64.76701
-64.56031,57.724613
-48.13605,19.460567
-82.46304,-50.192074
-16.934757,69.06706
25.249743,16.189995
-71.00578,-12.253115
-20.816324,23.53495
22.07484,68.19677
36.709858,-31.02834
9.004892,-55.77846
-67.114586,-39.71591
1.4343312,35.238884
-23.287125,-11.869631
-18.206104,-8.577744
-53.07517,-12.063542
28.82052,27.45701
-44.333427,-56.65544
-50.285183,59.139057
69.13543,-10.023504
43.270794,41.520443
25.293148,-61.08415
-14.28614,9.344446
93.09104,-8.549888
77.2123,3.254118
-17.081108,-3.0802214
-5.0041203,-68.27533
-7.8348336,-25.01487
-5.635673,-21.367775
47.707733,56.798103
0.023306297,-10.762543
-66.88147,25.714739
19.160433,25.046303
9.446318,-43.701702
-7.872681,23.350145
-76.19571,6.0517526
-59.681576,-7.5583496
-49.71789,41.390907
41.921417,26.131666
-56.079784,11.269651
-65.44601,48.773254
-37.21524,-58.45792
29.110775,54.35955
45.136627,61.84803
-31.921322,23.636896
-35.622425,-84.61181
22.568333,81.371056
11.361942,17.504644
42.542377,58.1192
0.18647332,26.772186
-26.376486,24.151691
-24.19076,-46.96934
-26.74392,33.78251
41.74951,-18.554907
-99.99814,4.695489
68.19752,-41.067833
-19.625957,-42.3866
-50.895054,-8.208645
-23.632568,14.241879
-33.148716,11.698119
-69.58203,-65.31356
49.301308,-64.241806
-32.900215,-90.43717
-18.89729,-2.3220537
-18.400675,27.663918
19.480577,-17.158125
38.647385,-45.619144
81.58699,-17.434263
-4.5565314,16.570747
33.477413,-31.912928
-27.730444,-38.051968
-71.54306,-31.42182
-78.08989,-3.0096455
-90.20168,2.4756079
-48.507675,10.474124
16.457785,11.893357
54.71023,69.18693
-23.047112,7.3183084
55.988358,29.170092
78.43108,50.480682
-63.06287,-41.082623
52.686787,-38.15545
42.98356,-23.039087
15.821743,-71.181816
69.28859,-27.784142
-57.32179,-13.602159
69.195335,-9.978906
-77.06344,30.625862
-14.62641,-4.4856443
-25.345211,-1.8668278
68.58562,-40.752483
-47.667976,-45.62769
23.188047,11.161459
-66.18372,-6.4250526
-35.43188,62.265343
27.765532,-77.15158
-36.69931,59.962265
-60.09474,-1.2900878
-13.848368,102.84643
74.001915,-16.372486
-1.6439921,-41.21119
28.173273,15.571111
-31.762718,-33.848434
12.154015,-12.715964
32.548035,94.062836
45.543026,-28.286247
32.164143,-40.445614
-80.41803,17.454927
49.014996,5.136397
71.8053,-21.931025
93.129166,-8.374705
33.568943,-51.001358
28.012117,-36.603806
-35.03421,31.326935
-19.58702,-42.27
79.46744,-4.321836
8.637267,-33.928818
75.703156,39.762127
39.74688,15.720025
-42.814796,25.729172
46.298447,47.49971
42.909054,58.7919
60.828083,-0.7396867
25.19204,52.76025
5.7517934,19.969612
-0.656578,0.23676392
20.256748,52.503487
-54.6225,-42.959858
-25.980616,-16.790087
7.789475,-3.6222365
53.102367,74.191795
43.039,39.4478
12.450248,-12.401881
71.38637,-22.98391
25.28903,52.72653
-24.25639,34.812576
-24.368477,80.82104
49.180454,-13.561364
-14.711603,-3.688101
-25.398792,-1.8967286
-38.582676,-17.192242
11.991111,-33.141426
26.700607,23.83539
46.163208,-59.90554
-29.613895,-31.181118
-79.545135,-12.830785
37.274162,68.51253
65.08391,-35.016876
-21.164213,91.87859
53.074825,12.601929
-6.5990434,-68.12332
22.346466,68.342995
23.930687,-6.9207973
35.72435,-38.742496
25.289885,52.71672
27.952656,19.443531
41.331604,-20.061121
-12.174206,74.206924
-7.0083327,-72.51376
61.64036,-40.48417
-47.66829,66.768524
26.371883,-53.20368
-41.648678,-0.064146146
-7.7897143,-7.3999166
-12.429411,23.088583
-10.846704,-70.15849
-44.608715,-30.494986
-36.31927,-3.8438153
-8.991982,11.5199175
22.170507,67.46211
61.010937,47.052666
76.87912,30.871622
19.111198,21.4808
-63.76553,-20.06684
-31.88842,-75.06144
19.343086,30.604269
-60.526497,-62.98235
-46.390476,14.712589
20.117678,66.29726
29.57584,-21.121614
21.338148,62.931683
-69.288826,-26.842804
80.908035,2.4432511
26.266802,-11.430286
-58.127346,-41.837097
8.807813,-5.264755
-60.903976,48.804802
55.043327,53.115707
-9.805123,69.91789
-11.867129,-28.961636
-53.67766,69.38161
-22.927294,-40.138832
5.42103,62.37927
-43.076675,37.041893
-30.669722,13.256928
71.80827,-30.310816
81.09109,-30.071526
-25.439014,-34.73455
-84.77495,17.90036
-70.34464,-42.443768
5.11203,-52.306156
-18.059376,85.35913
37.631413,7.322526
-27.918917,20.617563
1.9497036,-11.44184
28.025639,11.24057
51.288445,67.38352
-23.891632,21.098484
-9.689058,10.916449
13.289616,2.466289
-53.921833,-43.51365
86.43496,-2.115944
-23.266586,37.16137
-13.584162,-71.54946
-22.639223,-69.42993
-90.185905,13.719113
-33.46883,-68.90329
-13.711262,41.738064
-22.369322,38.659966
-43.514603,6.9420786
-0.6217624,-46.93169
-15.638069,40.06174
48.562138,67.39391
-45.814236,-25.323942
51.43873,71.67822
20.691643,-16.611937
-51.062428,-3.4313543
-35.28691,-4.867481
-81.66304,21.347178
-60.83128,-63.60583
-26.550974,-31.625435
16.606012,57.54296
